KIND:nbs
UNITS:cms
INTERVAL:dy
LOCATION:er
# file created: 2018-05-16 20:00:03
1990-01-01,   -999.90
1990-01-02,   -999.90
1990-01-03,   -999.90
1990-01-04,   -999.90
1990-01-05,     29.00
1990-01-06,     74.00
1990-01-07,    -92.00
1990-01-08,    -43.00
1990-01-09,    -88.00
1990-01-10,    -45.00
1990-01-11,     62.00
1990-01-12,     -4.00
1990-01-13,     63.00
1990-01-14,    -56.00
1990-01-15,     90.00
1990-01-16,    -18.00
1990-01-17,     96.00
1990-01-18,     -3.00
1990-01-19,    -27.00
1990-01-20,     27.00
1990-01-21,    -44.00
1990-01-22,    -72.00
1990-01-23,    -33.00
1990-01-24,     23.00
1990-01-25,    -19.00
1990-01-26,   -100.00
1990-01-27,     12.00
1990-01-28,    -86.00
1990-01-29,     43.00
1990-01-30,     93.00
1990-01-31,     62.00
1990-02-01,     57.00
1990-02-02,     69.00
1990-02-03,    -78.00
1990-02-04,     97.00
1990-02-05,    -83.00
1990-02-06,      9.00
1990-02-07,     34.00
1990-02-08,     70.00
1990-02-09,    -31.00
1990-02-10,     -6.00
1990-02-11,     16.00
1990-02-12,     35.00
1990-02-13,    -78.00
1990-02-14,    -86.00
1990-02-15,    -35.00
1990-02-16,    -30.00
1990-02-17,     56.00
1990-02-18,     99.00
1990-02-19,    -54.00
1990-02-20,     77.00
1990-02-21,    -17.00
1990-02-22,     77.00
1990-02-23,     77.00
1990-02-24,    -84.00
1990-02-25,     12.00
1990-02-26,    -50.00
1990-02-27,    -56.00
1990-02-28,    -36.00
1990-03-01,    -21.00
1990-03-02,    -77.00
1990-03-03,    -23.00
1990-03-04,     46.00
1990-03-05,     22.00
1990-03-06,    -20.00
1990-03-07,     -1.00
1990-03-08,    -10.00
1990-03-09,     52.00
1990-03-10,     23.00
1990-03-11,    -30.00
1990-03-12,     -3.00
1990-03-13,    -60.00
1990-03-14,     11.00
1990-03-15,    -46.00
1990-03-16,    -33.00
1990-03-17,     21.00
1990-03-18,     23.00
1990-03-19,    -50.00
1990-03-20,     70.00
1990-03-21,    -25.00
1990-03-22,    -32.00
1990-03-23,     59.00
1990-03-24,    -90.00
1990-03-25,     78.00
1990-03-26,     66.00
1990-03-27,     -4.00
1990-03-28,     51.00
1990-03-29,    -39.00
1990-03-30,    -64.00
1990-03-31,     13.00
1990-04-01,    -21.00
1990-04-02,     88.00
1990-04-03,     29.00
1990-04-04,    -80.00
1990-04-05,     33.00
1990-04-06,    -18.00
1990-04-07,     34.00
1990-04-08,    -34.00
1990-04-09,    -27.00
1990-04-10,    -19.00
1990-04-11,    -77.00
1990-04-12,    -23.00
1990-04-13,     96.00
1990-04-14,     -7.00
1990-04-15,    -41.00
1990-04-16,     61.00
1990-04-17,    -88.00
1990-04-18,     89.00
1990-04-19,    -23.00
1990-04-20,     82.00
1990-04-21,    -41.00
1990-04-22,     12.00
1990-04-23,     -2.00
1990-04-24,    -36.00
1990-04-25,    -32.00
1990-04-26,    -87.00
1990-04-27,     76.00
1990-04-28,     -9.00
1990-04-29,     29.00
1990-04-30,     73.00
1990-05-01,    -59.00
1990-05-02,     54.00
1990-05-03,     80.00
